"n_distributor_id","name","vdt","vno","items"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106319,"25816_,11742_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106320,"41780_,5421_,40712_,40023_,41421_,10665_,41617_,22595_,28133_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106321,"41364_,34511_,9605_,7538_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106322,"28566_,12372_,3345_,41178_,8538_,8050_,41102_,38728_,10110_,4794_,33183_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106323,"39306_,39311_,2425_,12085_,41924_,28291_,2658_,43260_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106324,"22075_,21690_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106325,"30304_,18309_,32436_,41421_,25947_,6254_,2628_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106326,"28396_,28398_,31501_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106327,"17335_,32443_,40688_,37659_,28393_,32096_,3689_,40307_,13673_,32063_,8780_,31227_,3823_,11145_,2625_,9740_,34753_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106328,"39304_,28398_,14267_,31223_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106329,"26184_,39669_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106330,"8962_,26264_,40879_,10296_,495_,16412_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106331,"34050_,3396_,5121_,11720_,26188_,19477_,10665_,3454_,2628_,2625_,32739_,37777_,32738_,32782_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106332,"15196_,12283_,5451_,16861_,12418_,10525_,8798_,8783_,8448_,16859_,4128_,8804_,1002_,9429_,5237_,12281_,10526_,17534_,9411_,8796_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106333,"41065_,38764_,42496_,24478_,26184_,42048_,26302_,43220_,18369_,22311_,32739_,17670_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106334,"3208_,29443_,36606_,41845_,25846_,11555_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106335,"3820_,17325_,12370_,40657_,11798_,12418_,41178_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106336,"36945_,4691_,20340_,32081_,24689_,17542_,35743_,34788_,31727_,4700_,26189_,26009_,30398_,39292_,19760_,2622_,496_,5112_,21864_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106337,"41631_,40491_,40757_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106338,"35926_,10207_,3412_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106339,"37299_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106340,"12468_,9082_,11507_,11555_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106341,"41379_,26665_,26468_,43019_,43020_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106342,"25886_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106343,"34269_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106344,"269_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106345,"5176_,16854_,25979_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106346,"9228_,35986_,11806_,9161_,14333_,12769_,2879_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106347,"12283_,10387_,12280_,28922_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106348,"42026_,8962_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106349,"26398_,5454_,36108_,3217_,25142_,20571_,12365_,25819_,14267_,2150_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106350,"41420_,11784_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106351,"19755_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106352,"22189_,1960_,3208_,17905_,41871_,3202_,3694_,2623_,33209_,5372_,5049_,26989_,21048_,26258_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106353,"15196_,36665_,21004_,10207_,40782_,240_,36007_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106354,"41410_,37640_,9072_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106355,"22435_,40586_,36623_,40912_,2418_,41841_,21289_,28777_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106356,"26203_,17205_,26187_,14331_,4803_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106357,"9090_,16496_,34211_,16495_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106358,"21090_,11798_,37860_,1009_,4276_,8534_,2425_,1994_,3688_,3421_,26189_,26187_,11742_,32428_,10297_,3436_,2658_,32879_,3267_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106359,"39304_,40307_,40429_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106360,"41178_,3452_,20373_,40784_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106361,"9212_,41424_,9034_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106362,"28372_,36292_,11736_,28371_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106363,"9475_,1417_,32771_,31354_,3429_,3428_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106364,"31752_,32052_,1982_,8782_,37725_,8785_,22177_,2872_,39270_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106365,"11757_,34750_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106366,"36097_,35479_,35477_,42321_,26219_,25768_,28652_,34208_,41646_,35743_,13834_,14264_,28373_,36650_,40627_,32854_,23567_,25979_,9461_,28398_,9917_,26405_,28499_,40749_,11575_,10665_,8217_,26448_,8597_,16479_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106367,"3823_,36108_,39749_,27270_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106368,"19410_,26187_,39267_,2987_,14352_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106369,"20167_,22428_,8800_,2871_,37588_,36645_,40071_,26315_,17907_,4794_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106370,"41007_,7435_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106371,"23771_,5358_,21209_,41303_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106372,"41303_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106373,"5130_,5122_,3908_,39343_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106374,"41767_,17330_,10518_,11800_,4129_,9902_,40899_,4706_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106375,"11574_,37807_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106376,"40645_,12949_,3208_,40921_,30696_,39991_,26188_,25934_,22250_,40757_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106377,"26187_,2621_,28494_,39292_,37649_,9717_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106378,"40990_,39242_,15986_,29660_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106379,"5279_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106380,"7466_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106381,"33728_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106382,"41042_,296_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106383,"31019_,41123_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106384,"40912_,8802_,11583_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106385,"41414_,3211_,27537_,11806_,4266_,22750_,1994_,25795_,39991_,30291_,33166_,18780_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106386,"1083_,1140_,1002_,39341_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106387,"27537_,13000_,28398_,23361_,43220_,33183_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106388,"18515_,38779_,5325_,39273_,10791_,39383_,13060_,33184_,2150_,32084_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106389,"16561_,42083_,41344_,34050_,40710_,40573_,21268_,32065_,13060_,31223_,15522_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106390,"42175_,34051_,11503_,171_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106391,"34311_,2872_,32242_,1420_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106392,"8534_,9895_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106393,"40280_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106394,"19576_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106395,"11147_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106396,"15211_,32794_"
