Row Labels,Count of Current Location,,,Rank,Frequency
chinnasalam,1,,,268,1
dharmapuri.,1,,,269,1
"HOSUR,BANGALORE,CHENNAI",1,,,270,1
TRICHIRAPALLI,1,,,271,1
Regunathapuram,1,,,272,1
tripur,1,,,273,1
banglore,1,,,274,1
Tumkur,1,,,275,1
Dhermapuri,1,,,276,1
Udaikulam,1,,,277,1
VIRDHUNAGAR,1,,,278,1
Kuwait,1,,,279,1
Kollidam,1,,,280,1
"Udumalpet, Tamilnadu",1,,,281,1
Sathyamangalam,1,,,282,1
"Lower camp, Theni distric",1,,,283,1
hyderabad,1,,,284,1
vaitheeswaran koil,1,,,285,1
seerappalli,1,,,286,1
"Dindigul,Tamilnadu",1,,,287,1
SENDURAI,1,,,288,1
KARAIKUDI NEAR MADURAI,1,,,289,1
shree prembadur,1,,,290,1
vanur,1,,,291,1
SINGAMPUNARI,1,,,292,1
vedaraniyam,1,,,293,1
"Ilayangudi,sivaganagi dis",1,,,294,1
Veeravanallur,1,,,295,1
india,1,,,296,1
vilathikulam,1,,,297,1
jayamkondam,1,,,298,1
villpuram,1,,,299,1
devakottai,1,,,300,1
"karaikudi,sivaganga dst",1,,,301,1
jeyankondam,1,,,302,1
Kaveripattanam,1,,,303,1
"sivakasi,virudhunagar dis",1,,,304,1
viluppuram,1,,,305,1
jolarpet,1,,,306,1
komarapalayam,1,,,307,1
virrudhachalam,1,,,308,1
sankarankovil,1,,,309,1
Karaikudi Near Trichy,1,,,310,1
Sathur,1,,,311,1
PERAMBALUR DT,1,,,312,1
chidambarampatti,1,,,313,1
Perambalur.,1,,,314,1
Wellington,1,,,315,1
neyveli township,1,,,316,1
Neyveli-TS,1,,,317,1
(blank),,,,,
Grand Total,45560,,,,
